,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_log_std_init,params_lr_schedule,params_max_grad_norm,params_n_steps,params_net_arch,params_normalize_advantage,params_ortho_init,params_use_rms_prop,params_vf_coef,state
62,62,70.4826295,2024-04-16 04:33:19.740732,2024-04-16 04:48:16.056085,0 days 00:14:56.315353,tanh,0.0010423416235083812,0.98,0.999,0.0007310815567354223,-1.317956260690836,constant,1.0,64,small,True,False,False,0.017533484789714112,PRUNED
63,63,54.96193529999999,2024-04-16 04:35:57.505244,2024-04-16 04:56:10.092370,0 days 00:20:12.587126,relu,1.638533140543332e-05,0.92,0.9999,0.008485743329280152,-2.2504250289040253,linear,0.9,8,medium,False,True,True,0.0701678358125335,PRUNED
64,64,151.627514,2024-04-16 04:41:07.240776,2024-04-16 04:56:24.817013,0 days 00:15:17.576237,tanh,4.012421986715791e-05,0.9,0.999,0.00012146443682986876,-0.6538517503007792,constant,0.8,64,small,True,False,False,0.28731472638961075,COMPLETE
65,65,27.193595200000004,2024-04-16 04:43:20.548284,2024-04-16 05:01:07.948220,0 days 00:17:47.399936,tanh,0.0005581081405349785,0.98,0.999,0.007450798619175687,-1.6151820482226409,constant,0.8,16,medium,True,False,False,0.00410611626893808,PRUNED
66,66,131.44910369999997,2024-04-16 04:43:27.158602,2024-04-16 05:00:49.376809,0 days 00:17:22.218207,relu,2.2047767507651004e-08,0.92,0.999,0.005802360530332506,-1.1924220062955897,linear,0.5,16,medium,False,True,True,0.33218500433165166,COMPLETE
67,67,92.64915089999998,2024-04-16 04:45:21.051021,2024-04-16 04:59:42.592442,0 days 00:14:21.541421,tanh,0.020702515861137572,0.8,0.98,1.602314630176052e-05,-0.7446782098870103,constant,0.8,2048,medium,True,False,False,0.08527618462096723,PRUNED
68,68,47.341192899999996,2024-04-16 04:46:37.266163,2024-04-16 05:01:35.035992,0 days 00:14:57.769829,relu,3.38024169619836e-06,0.8,0.9999,0.004675749308162649,-1.8908551428242855,linear,0.6,128,medium,False,False,True,0.02663953279457182,PRUNED
69,69,122.13182080000001,2024-04-16 04:47:03.056181,2024-04-16 05:02:15.378087,0 days 00:15:12.321906,tanh,7.721862806042187e-05,0.92,0.999,1.8674617036139385e-05,-0.3929546858894195,constant,0.8,64,medium,False,False,False,0.038100589073429544,PRUNED
70,70,71.8516838,2024-04-16 04:48:16.057082,2024-04-16 05:02:35.954051,0 days 00:14:19.896969,relu,1.062966335525418e-06,0.8,0.9999,0.0070960966117839,-1.1791085999774327,constant,0.6,1024,medium,False,True,True,0.35257242158777047,PRUNED
71,71,139.18113,2024-04-16 04:56:10.093367,2024-04-16 05:11:25.024314,0 days 00:15:14.930947,relu,1.7634178173649654e-08,0.92,0.95,0.019212624005207853,-1.5462627342104907,linear,2.0,128,medium,False,True,True,0.3041827401903049,COMPLETE
72,72,25.7110818,2024-04-16 04:56:24.819008,2024-04-16 05:11:25.632716,0 days 00:15:00.813708,relu,2.2538955876451478e-07,0.92,0.95,0.038920757717582445,-1.6280470580063422,linear,2.0,2048,medium,False,True,True,0.5239260870458429,PRUNED
73,73,110.0282436,2024-04-16 04:59:42.594436,2024-04-16 05:14:20.126227,0 days 00:14:37.531791,tanh,1.9359303854544306e-06,0.9,0.99,0.004365785786924413,-0.799354378161041,constant,0.8,512,small,True,False,False,0.25824688920157784,PRUNED
74,74,14.1989318,2024-04-16 05:00:49.378804,2024-04-16 05:16:01.986969,0 days 00:15:12.608165,relu,3.660419630389474e-08,0.92,0.999,0.1178676751595108,-1.1914216805314997,constant,5.0,128,medium,False,True,True,0.344872869984833,PRUNED
75,75,100.0150015,2024-04-16 05:01:07.950215,2024-04-16 05:16:23.427977,0 days 00:15:15.477762,tanh,4.735150671651114e-07,0.9,0.995,0.0005079516088369829,0.7496633927387177,constant,0.3,64,small,True,False,False,0.26976245164667406,PRUNED
76,76,89.7325431,2024-04-16 05:01:35.036989,2024-04-16 05:17:12.271721,0 days 00:15:37.234732,tanh,1.0026168076850325e-05,1.0,0.999,1.3605880408124985e-05,-1.2784386011681033,constant,0.8,64,small,True,False,False,0.4797203186941995,PRUNED
77,77,131.6441518,2024-04-16 05:02:15.379084,2024-04-16 05:20:09.312435,0 days 00:17:53.933351,tanh,1.7407644552907187e-05,0.9,0.999,0.0003138619669118422,0.8216507945433011,constant,0.3,16,small,True,False,False,0.2510428882930528,COMPLETE
78,78,135.5131686,2024-04-16 05:02:35.956046,2024-04-16 05:17:49.712637,0 days 00:15:13.756591,tanh,0.00022033138575875384,0.9,0.999,4.2066667822858015e-05,-0.9758315577665694,constant,0.3,64,small,True,False,False,0.36382397380440273,COMPLETE
79,79,75.24065149999998,2024-04-16 05:11:25.026309,2024-04-16 05:26:22.687438,0 days 00:14:57.661129,tanh,2.6617258668247025e-06,0.9,0.95,6.379758898801994e-05,-1.3884627476424867,constant,0.8,512,small,True,False,False,0.28623181921901336,PRUNED
80,80,85.670155,2024-04-16 05:11:25.634711,2024-04-16 05:27:25.604151,0 days 00:15:59.969440,relu,0.003661598844334049,0.9,0.95,1.3609573106290003e-05,-0.7073519969989016,linear,0.8,64,medium,True,False,True,0.03304305110059622,PRUNED
81,81,32.4313298,2024-04-16 05:14:20.129219,2024-04-16 05:29:18.595926,0 days 00:14:58.466707,relu,0.00011063359491035154,0.8,0.9999,0.006668585610562227,-2.3481615951535826,linear,0.3,1024,medium,False,True,True,0.10428087673589138,PRUNED
82,82,130.81791009999998,2024-04-16 05:16:01.987967,2024-04-16 05:31:24.426359,0 days 00:15:22.438392,tanh,2.3604154178176238e-07,0.9,0.999,0.0002770730660046517,-0.5318041063176954,constant,0.8,256,medium,True,False,False,0.32773289836760544,PRUNED
83,83,110.11129620000001,2024-04-16 05:16:23.428974,2024-04-16 05:31:01.425880,0 days 00:14:37.996906,relu,0.00012972254295241542,0.9,0.999,0.0006636075639355306,-0.31604748260483223,constant,0.8,2048,small,True,False,False,0.20456861703599594,PRUNED
84,84,123.6505116,2024-04-16 05:17:12.273715,2024-04-16 05:33:07.284603,0 days 00:15:55.010888,tanh,0.0007206123481951588,0.9,0.95,8.919657570917934e-05,-0.663359830084898,constant,2.0,64,small,True,False,False,0.3376996104339088,PRUNED
85,85,106.570183,2024-04-16 05:17:49.714631,2024-04-16 05:32:39.056107,0 days 00:14:49.341476,relu,2.6658865760472924e-08,0.92,0.99,0.0068816151335428805,0.23377442977666402,linear,0.6,1024,medium,False,True,True,0.2383249484512424,PRUNED
86,86,132.0033579,2024-04-16 05:20:09.313432,2024-04-16 05:35:57.857447,0 days 00:15:48.544015,relu,0.00018986146342208553,0.92,0.99,0.0004542734760502532,-0.8108731870237338,constant,0.8,64,medium,True,False,False,0.22543788085783123,COMPLETE
87,87,78.4276326,2024-04-16 05:26:22.688436,2024-04-16 05:41:33.500711,0 days 00:15:10.812275,relu,9.096462971471173e-07,0.8,0.995,0.002537930145420939,0.37204350946802905,linear,0.6,1024,medium,True,True,False,0.35171284297462097,PRUNED
88,88,50.576148599999996,2024-04-16 05:27:25.605149,2024-04-16 05:43:04.355696,0 days 00:15:38.750547,relu,1.4981574707219526e-08,0.92,0.99,0.007428121916733784,-2.5796545216090094,linear,0.7,128,medium,False,True,True,0.32465698587907355,PRUNED
89,89,13.898378499999998,2024-04-16 05:29:18.597920,2024-04-16 05:44:37.068711,0 days 00:15:18.470791,relu,9.669602138687227e-08,0.9,0.95,0.031710299038835384,-0.8318521533504365,linear,1.0,128,medium,False,True,False,0.1113763208939097,PRUNED
90,90,12.8298755,2024-04-16 05:31:01.428872,2024-04-16 05:46:07.805181,0 days 00:15:06.376309,relu,1.4121633104443407e-07,0.92,0.95,0.01608996388700833,-1.7809198029357725,linear,2.0,128,medium,False,False,True,0.2014850738208823,PRUNED
91,91,4.675618399999999,2024-04-16 05:31:24.427357,2024-04-16 05:46:48.027689,0 days 00:15:23.600332,relu,4.507447814577789e-08,0.92,0.99,0.057706973606162504,-1.6645023569217563,linear,2.0,128,medium,True,True,True,0.4117410095653359,PRUNED
92,92,123.8404311,2024-04-16 05:32:39.059099,2024-04-16 05:48:03.825004,0 days 00:15:24.765905,tanh,0.00013253493224398756,0.92,0.99,2.8187551043154547e-05,0.6156227670205844,constant,0.8,64,small,True,False,False,0.0635040942517748,PRUNED
93,93,161.50676209999997,2024-04-16 05:33:07.286598,2024-04-16 05:48:53.872802,0 days 00:15:46.586204,tanh,0.0005999094988901981,0.92,0.999,1.6133587474477796e-05,0.33836956090174775,constant,0.8,64,medium,True,False,True,0.06362507576352879,COMPLETE
94,94,119.78600019999999,2024-04-16 05:35:57.858445,2024-04-16 05:50:32.334468,0 days 00:14:34.476023,tanh,0.007379257712195214,0.98,0.995,3.305727927559261e-05,-0.48375524705741946,constant,0.8,64,small,True,False,True,0.010949808011247258,PRUNED
95,95,7.904124499999999,2024-04-16 05:41:33.501709,2024-04-16 05:54:03.505105,0 days 00:12:30.003396,relu,1.522873949663476e-08,0.92,0.95,0.7973409467681101,-0.4289358975225217,linear,0.6,128,medium,False,True,False,0.2194279627381308,PRUNED
96,96,15.904651600000003,2024-04-16 05:43:04.356694,2024-04-16 05:54:42.123206,0 days 00:11:37.766512,relu,2.0384417961008224e-05,0.92,0.999,0.02314598776801705,0.17584628630225263,linear,2.0,128,small,False,True,True,0.17321749663025465,PRUNED
97,97,16.006948099999995,2024-04-16 05:44:37.069708,2024-04-16 05:55:12.715938,0 days 00:10:35.646230,relu,1.3036270047607384e-08,0.92,0.995,0.269791277368667,-1.7373637127517145,linear,2.0,128,medium,False,True,True,0.24951432722277647,PRUNED
98,98,125.3671155,2024-04-16 05:46:07.806179,2024-04-16 05:55:46.487468,0 days 00:09:38.681289,relu,7.390421008388222e-05,0.92,0.95,0.00022024696418138705,-1.493823030860093,constant,0.3,32,medium,True,False,True,0.10523774084393041,PRUNED
99,99,130.3183244,2024-04-16 05:46:48.027689,2024-04-16 05:55:48.957860,0 days 00:09:00.930171,relu,2.188497334096652e-05,0.8,0.95,0.00013497581886174056,0.7669762065023975,constant,0.5,64,medium,True,False,True,0.017458089592300108,PRUNED
