,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_log_std_init,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_sde_sample_freq,params_vf_coef,state
38,38,12.185162,2024-04-16 07:07:49.258734,2024-04-16 07:20:38.906329,0 days 00:12:49.647595,tanh,512,0.2,0.0030353792959109606,0.98,0.9999,0.07088538308605896,-1.1152690336694726,0.5,1,512,small,256,0.7855797162144345,PRUNED
39,39,56.0221282,2024-04-16 07:07:54.701176,2024-04-16 07:29:35.912004,0 days 00:21:41.210828,tanh,32,0.4,0.00029604860519760577,1.0,0.9,0.1129035957848661,0.28220866808589995,1.0,5,2048,small,8,0.609032246071547,COMPLETE
40,40,22.566454,2024-04-16 07:11:48.867070,2024-04-16 07:31:35.651206,0 days 00:19:46.784136,tanh,32,0.3,0.03879730493420123,0.98,0.99,0.010390203233675113,-1.9434921503557554,1.0,1,8,medium,256,0.6239186088493042,PRUNED
41,41,63.0028369,2024-04-16 07:13:24.867591,2024-04-16 07:29:10.920466,0 days 00:15:46.052875,tanh,16,0.2,0.04941845804788293,0.9,0.99,0.020524087785208592,-3.9814913859626393,1.0,1,512,small,256,0.5787457845676525,COMPLETE
42,42,21.3812785,2024-04-16 07:14:36.837327,2024-04-16 07:30:26.129441,0 days 00:15:49.292114,tanh,16,0.2,0.0258000847622276,0.9,0.99,0.0156505135236414,-0.08636496053706155,2.0,1,512,small,256,0.5504873382573643,PRUNED
43,43,55.296087899999996,2024-04-16 07:14:39.293537,2024-04-16 07:29:58.255996,0 days 00:15:18.962459,tanh,32,0.2,0.002566314062778848,0.9,0.98,0.006725970978568554,-1.1194623301525422,1.0,1,2048,small,256,0.7827825241998824,COMPLETE
44,44,35.0213831,2024-04-16 07:15:06.361155,2024-04-16 07:29:51.585837,0 days 00:14:45.224682,tanh,32,0.4,0.04586389566143367,0.9,0.999,0.0005860848569793669,-2.2010298663299923,1.0,1,512,small,32,0.7192204271263412,PRUNED
45,45,35.544214700000005,2024-04-16 07:16:38.877813,2024-04-16 07:30:47.757280,0 days 00:14:08.879467,relu,32,0.2,0.00992864055495588,0.9,0.99,5.724853059995864e-05,-0.7278388353348998,1.0,1,512,small,128,0.43125290192584353,PRUNED
46,46,82.3069113,2024-04-16 07:20:38.907326,2024-04-16 07:35:55.951376,0 days 00:15:17.044050,relu,64,0.1,0.00023397546073426414,0.92,0.999,0.44722056090481105,-1.2857907198525,0.7,1,32,medium,16,0.7363306237096987,COMPLETE
47,47,,2024-04-16 07:29:10.921463,2024-04-16 07:36:18.483109,0 days 00:07:07.561646,tanh,8,0.2,0.08514116534625775,0.9,0.98,0.28289440910676117,-1.4015476804699647,1.0,1,256,small,-1,0.67521688448903,PRUNED
48,48,37.62922139999999,2024-04-16 07:29:35.914997,2024-04-16 07:44:19.631316,0 days 00:14:43.716319,tanh,32,0.2,0.0872398442793523,0.9,0.95,0.027956574828089702,-1.1748591756912552,0.3,1,128,small,256,0.47728475983221236,PRUNED
