,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_learning_starts,params_log_std_init,params_net_arch,params_tau,params_train_freq,state
44,44,,2024-04-15 02:34:52.007099,2024-04-15 02:36:24.500211,0 days 00:01:32.493112,1024,100000,0.9,0.30607176332327374,20000,-1.8702215370552842,medium,0.08,512,PRUNED
45,45,123.1209071,2024-04-15 02:36:24.502206,2024-04-15 03:13:39.751227,0 days 00:37:15.249021,32,100000,0.995,0.0025486401712202706,20000,-3.4079739993884584,medium,0.02,128,PRUNED
46,46,117.2260515,2024-04-15 02:40:05.041912,2024-04-15 04:23:25.897385,0 days 01:43:20.855473,1024,100000,0.9,0.0005658445127130281,0,-3.3571490576987033,medium,0.02,1,PRUNED
47,47,148.5323715,2024-04-15 02:43:17.543851,2024-04-15 04:12:21.319829,0 days 01:29:03.775978,128,1000000,0.9999,1.3697621144241447e-05,0,0.651973006465438,big,0.02,64,COMPLETE
48,48,120.602396,2024-04-15 03:04:14.406389,2024-04-15 03:53:45.807289,0 days 00:49:31.400900,32,100000,0.9,0.001047550695193101,10000,-3.6950207330312947,medium,0.02,128,PRUNED
49,49,127.91655179999998,2024-04-15 03:13:39.752225,2024-04-15 04:17:36.590750,0 days 01:03:56.838525,1024,100000,0.98,0.0014429529771913677,20000,-3.431294154083945,medium,0.08,32,PRUNED
50,50,,2024-04-15 03:22:28.505905,2024-04-15 03:22:56.959861,0 days 00:00:28.453956,128,100000,0.9,0.17088462886013014,0,-1.8589421334277354,medium,0.08,32,PRUNED
51,51,133.3109665,2024-04-15 03:22:53.660685,2024-04-15 04:20:43.754209,0 days 00:57:50.093524,32,1000000,0.99,2.6674273933394813e-05,0,0.13245008355793175,medium,0.02,8,COMPLETE
52,52,129.8362504,2024-04-15 03:22:56.960858,2024-04-15 04:28:34.906429,0 days 01:05:37.945571,16,1000000,0.99,1.871836553691103e-05,0,-0.9400274555606016,big,0.001,8,PRUNED
53,53,116.90325370000001,2024-04-15 03:36:01.214864,2024-04-15 05:00:44.517012,0 days 01:24:43.302148,256,1000000,0.9999,1.3837032486613788e-05,0,0.2540879812099126,big,0.02,8,PRUNED
54,54,,2024-04-15 03:53:45.808286,2024-04-15 03:55:20.771335,0 days 00:01:34.963049,1024,100000,0.99,0.28942438262341064,20000,-2.0610870405961172,medium,0.01,32,PRUNED
55,55,108.2778112,2024-04-15 03:55:20.773330,2024-04-15 04:53:10.518283,0 days 00:57:49.744953,32,100000,0.95,0.0001331881934769907,1000,-0.7807190560868829,big,0.02,8,PRUNED
56,56,107.2933919,2024-04-15 04:06:38.559244,2024-04-15 05:03:23.002252,0 days 00:56:44.443008,32,1000000,0.95,3.199441341709686e-05,0,0.6737914250885038,big,0.05,8,PRUNED
57,57,127.65248649999998,2024-04-15 04:12:21.321823,2024-04-15 05:11:27.972898,0 days 00:59:06.651075,16,1000000,0.95,1.7657292101079622e-05,0,-0.23532958200124146,big,0.08,128,PRUNED
58,58,115.1685669,2024-04-15 04:17:36.591748,2024-04-15 05:29:41.566558,0 days 01:12:04.974810,128,1000000,0.9999,0.0004429430930611995,1000,0.7645515158139323,big,0.02,4,PRUNED
59,59,99.2684153,2024-04-15 04:20:43.756204,2024-04-15 05:18:16.746707,0 days 00:57:32.990503,128,1000000,0.999,2.826583673761236e-05,10000,0.2803073244565686,big,0.02,16,PRUNED
